index;lambda;mu;time;nb_clients;client_no_wait;nb_moyen_clients;temps_sejour;time_exec
3;2;2;1000000;2001418;7.454714607343394E-4;1578.9361821212008;788.9087547534284;17.80
3;2;4;1000000;1997567;0.5001729604063343;0.997087436912772;0.4991509355695059;0.73
3;2;6;1000000;1999592;0.6673676429991718;0.499312050374005;0.2497069654079457;0.58
3;2;8;1000000;1999760;0.7498664839780773;0.3334197849809446;0.1667299000784817;0.69
3;4;4;1000000;3995932;0.0015470733736209724;564.8632585419583;141.35957732560834;9.66
3;4;6;1000000;3997452;0.33387642928545486;1.9999887862334667;0.5003158977852632;0.97
3;4;8;1000000;3997728;0.5003314382569299;0.9971215180540571;0.24942205123861785;1.11
3;6;6;1000000;6001441;6.075207604307033E-4;2817.5501887864116;469.4789449377436;100.48
3;6;8;1000000;6002045;0.24954294744541236;3.0112345494795427;0.5017014283431521;1.55
3;8;8;1000000;8001719;3.436761525867129E-5;4076.608571774228;509.4665998361435;195.85
3;5;6;1;4;0.75;0.7423806748075045;0.18559516870187612;0.05
3;5;6;10;49;0.20408163265306123;2.166759728699143;0.44219586299982533;0.06
3;5;6;100;516;0.0872093023255814;10.4242070594655;2.0201951665630826;0.06
3;5;6;1000;4929;0.1763035098397241;5.1919332827619264;1.0533441433885047;0.07
3;5;6;10000;50127;0.1628862688770523;4.927998927395214;0.9831027046093298;0.14
3;5;6;100000;499699;0.16806117282604127;4.891017789335602;0.9787927911272999;0.31
3;5;6;1000000;4996917;0.16811846184357274;4.96626180559002;0.9938651783872139;1.33
3;5;6;10000000;49998857;0.1665195066359217;5.010008010611753;1.0020245084029908;10.37
4;2;2;1000000;1999004;0.0022261086020838377;259.56262405196725;129.84597532169343;2.40
4;2;4;1000000;2002059;0.4989887910396247;1.0036026563174318;0.5012852549887054;0.74
4;2;6;1000000;2000262;0.6655348149392429;0.5017206421732682;0.2508274626890218;0.59
4;2;8;1000000;1999449;0.7497260495266446;0.3332751047952334;0.16668347369461958;0.67
4;4;4;1000000;3999877;1.1000338260401507E-5;2203.2091563603803;550.8192267813312;49.19
4;4;6;1000000;4002100;0.3328297643737038;1.9991891508245845;0.49953503181444314;1.13
4;4;8;1000000;4000934;0.4997423101705752;1.000546388088664;0.25007820376158757;1.15
4;6;6;1000000;6000540;2.2731287517456763E-4;1687.7068738936207;281.2591656573638;55.35
4;6;8;1000000;6002254;0.250144029226354;2.9955731706406836;0.49907470937432585;1.53
4;8;8;1000000;7998376;4.227108102944898E-4;897.3221043074915;112.18803720995153;31.42
4;5;6;1;5;1.0;0.8580856408717853;0.17161712817435706;0.06
4;5;6;10;49;0.30612244897959184;4.338943501594114;0.8854986737947173;0.06
4;5;6;100;514;0.14396887159533073;7.182337294397492;1.3973418860695503;0.07
4;5;6;1000;4981;0.1549889580405541;5.612144138485944;1.1267103269395604;0.08
4;5;6;10000;50362;0.154461697311465;5.314401261642963;1.0552403124663334;0.16
4;5;6;100000;499451;0.1676640951765038;4.935975145468021;0.9882801607100812;0.29
4;5;6;1000000;4997891;0.16716050830240195;5.003262793056541;1.001074811966818;1.19
4;5;6;10000000;50000810;0.16673021897045268;5.001541763774629;1.0002921480216678;10.35
