time;nb_octet;file;size;rtt
178.0;544240;data_0.tr;0;1
179.0;665080;data_0.tr;0;1
180.0;444120;data_0.tr;0;1
181.0;564160;data_0.tr;0;1
182.0;514120;data_0.tr;0;1
183.0;665040;data_0.tr;0;1
184.0;434000;data_0.tr;0;1
185.0;604880;data_0.tr;0;1
186.0;604040;data_0.tr;0;1
187.0;403920;data_0.tr;0;1
188.0;604640;data_0.tr;0;1
189.0;604640;data_0.tr;0;1
190.0;604680;data_0.tr;0;1
191.0;413760;data_0.tr;0;1
192.0;594360;data_0.tr;0;1
193.0;604720;data_0.tr;0;1
194.0;554280;data_0.tr;0;1
195.0;454120;data_0.tr;0;1
196.0;604520;data_0.tr;0;1
197.0;604640;data_0.tr;0;1
198.0;604800;data_0.tr;0;1
199.0;604640;data_0.tr;0;1
200.0;544440;data_0.tr;0;1
201.0;464000;data_0.tr;0;1
202.0;604520;data_0.tr;0;1
203.0;604920;data_0.tr;0;1
204.0;604560;data_0.tr;0;1
205.0;504240;data_0.tr;0;1
206.0;504120;data_0.tr;0;1
207.0;604920;data_0.tr;0;1
208.0;635080;data_0.tr;0;1
209.0;604800;data_0.tr;0;1
210.0;574040;data_0.tr;0;1
211.0;806440;data_0.tr;0;1
212.0;806320;data_0.tr;0;1
213.0;604800;data_0.tr;0;1
214.0;574560;data_0.tr;0;1
215.0;454200;data_0.tr;0;1
216.0;584440;data_0.tr;0;1
217.0;604560;data_0.tr;0;1
218.0;564360;data_0.tr;0;1
219.0;443840;data_0.tr;0;1
220.0;604760;data_0.tr;0;1
221.0;604520;data_0.tr;0;1
222.0;584560;data_0.tr;0;1
223.0;423960;data_0.tr;0;1
224.0;604520;data_0.tr;0;1
225.0;604840;data_0.tr;0;1
226.0;604480;data_0.tr;0;1
227.0;444040;data_0.tr;0;1
228.0;564120;data_0.tr;0;1
229.0;655520;data_0.tr;0;1
230.0;594760;data_0.tr;0;1
231.0;564360;data_0.tr;0;1
232.0;604680;data_0.tr;0;1
233.0;604880;data_0.tr;0;1
234.0;524000;data_0.tr;0;1
235.0;504400;data_0.tr;0;1
236.0;584080;data_0.tr;0;1
237.0;604800;data_0.tr;0;1
238.0;604880;data_0.tr;0;1
239.0;433880;data_0.tr;0;1
240.0;574560;data_0.tr;0;1
241.0;705320;data_0.tr;0;1
242.0;504320;data_0.tr;0;1
243.0;604520;data_0.tr;0;1
244.0;604720;data_0.tr;0;1
245.0;604560;data_0.tr;0;1
246.0;474160;data_0.tr;0;1
247.0;534080;data_0.tr;0;1
248.0;604800;data_0.tr;0;1
249.0;604800;data_0.tr;0;1
250.0;544200;data_0.tr;0;1
251.0;524480;data_0.tr;0;1
252.0;544000;data_0.tr;0;1
253.0;604600;data_0.tr;0;1
254.0;594720;data_0.tr;0;1
255.0;424080;data_0.tr;0;1
256.0;594680;data_0.tr;0;1
257.0;604240;data_0.tr;0;1
258.0;494200;data_0.tr;0;1
259.0;534520;data_0.tr;0;1
260.0;584560;data_0.tr;0;1
261.0;604560;data_0.tr;0;1
262.0;453800;data_0.tr;0;1
263.0;554120;data_0.tr;0;1
264.0;1007720;data_0.tr;0;1
265.0;605280;data_0.tr;0;1
266.0;604560;data_0.tr;0;1
267.0;604840;data_0.tr;0;1
268.0;413720;data_0.tr;0;1
269.0;624880;data_0.tr;0;1
270.0;574480;data_0.tr;0;1
271.0;604520;data_0.tr;0;1
272.0;403640;data_0.tr;0;1
273.0;604640;data_0.tr;0;1
274.0;604960;data_0.tr;0;1
275.0;604200;data_0.tr;0;1
276.0;464080;data_0.tr;0;1
277.0;544080;data_0.tr;0;1
278.0;605000;data_0.tr;0;1
279.0;604600;data_0.tr;0;1
280.0;473960;data_0.tr;0;1
281.0;534400;data_0.tr;0;1
282.0;604400;data_0.tr;0;1
283.0;604800;data_0.tr;0;1
284.0;554320;data_0.tr;0;1
285.0;454120;data_0.tr;0;1
286.0;604240;data_0.tr;0;1
287.0;604800;data_0.tr;0;1
288.0;604720;data_0.tr;0;1
289.0;574600;data_0.tr;0;1
290.0;434040;data_0.tr;0;1
291.0;604560;data_0.tr;0;1
292.0;604400;data_0.tr;0;1
293.0;604720;data_0.tr;0;1
294.0;484320;data_0.tr;0;1
295.0;524120;data_0.tr;0;1
296.0;604520;data_0.tr;0;1
297.0;403640;data_0.tr;0;1
298.0;604400;data_0.tr;0;1
299.0;604880;data_0.tr;0;1
300.0;554320;data_0.tr;0;1
301.0;534520;data_0.tr;0;1
302.0;524040;data_0.tr;0;1
303.0;514080;data_0.tr;0;1
304.0;504400;data_0.tr;0;1
305.0;634920;data_0.tr;0;1
306.0;564120;data_0.tr;0;1
307.0;504120;data_0.tr;0;1
308.0;503960;data_0.tr;0;1
309.0;604840;data_0.tr;0;1
310.0;604640;data_0.tr;0;1
311.0;464000;data_0.tr;0;1
312.0;544160;data_0.tr;0;1
313.0;604640;data_0.tr;0;1
314.0;604720;data_0.tr;0;1
315.0;604640;data_0.tr;0;1
316.0;434120;data_0.tr;0;1
317.0;574000;data_0.tr;0;1
318.0;484200;data_0.tr;0;1
319.0;624880;data_0.tr;0;1
320.0;504080;data_0.tr;0;1
321.0;604800;data_0.tr;0;1
322.0;423600;data_0.tr;0;1
323.0;604800;data_0.tr;0;1
324.0;584520;data_0.tr;0;1
325.0;604440;data_0.tr;0;1
326.0;514200;data_0.tr;0;1
327.0;494080;data_0.tr;0;1
328.0;604960;data_0.tr;0;1
329.0;604800;data_0.tr;0;1
330.0;604360;data_0.tr;0;1
331.0;604720;data_0.tr;0;1
332.0;403720;data_0.tr;0;1
